TEMPERATURE,CPU_USAGE,CPU_1,CPU_2,CPU_3,CPU_4
49.1,26.4,22.4,20.8,25.0,36.2
47.7,25.8,14.6,29.6,19.4,41.7
48.2,25.3,21.1,34.7,12.8,34.6
48.7,28.0,31.6,33.7,19.6,18.8
48.2,26.6,39.4,19.4,18.2,23.9
47.7,27.9,38.4,21.0,16.0,29.0
49.1,30.4,29.8,20.4,22.0,39.2
48.2,24.0,20.0,26.7,19.6,36.4
48.7,25.6,24.7,27.2,31.6,20.0
49.1,27.4,27.0,22.2,27.8,31.7
48.7,28.0,26.8,25.0,34.3,18.6
47.7,27.2,26.8,14.3,17.7,46.5
49.1,26.6,17.5,22.3,32.0,30.3
48.7,26.0,17.3,16.2,17.3,15.0
48.2,26.1,33.3,22.4,33.3,11.9
48.2,26.3,32.3,28.8,21.2,22.2
48.7,26.7,37.4,21.6,24.8,25.2
47.7,25.0,27.7,16.5,28.6,34.0
47.7,28.1,16.0,28.9,6.0,50.0
48.7,26.7,23.7,32.7,17.3,31.7
47.7,23.8,32.0,28.4,17.8,28.4
47.7,27.2,28.9,26.3,22.1,24.2
49.1,26.2,26.3,32.0,19.6,18.2
48.2,27.4,28.4,28.9,26.5,21.8
47.2,25.4,51.5,14.9,24.8,11.0
48.7,24.9,37.1,17.0,30.0,25.0
48.7,26.3,37.8,16.3,35.4,20.2
47.7,27.7,16.2,13.5,51.5,20.8
47.7,27.6,20.4,18.4,47.1,20.8
48.2,26.3,17.2,18.0,52.8,18.7
47.7,24.2,22.1,25.5,36.4,30.4
48.2,26.1,16.3,15.7,55.4,18.2
48.2,29.3,10.4,26.5,34.0,24.3
49.1,25.3,14.0,17.8,30.3,17.3
47.7,26.6,23.7,22.5,34.7,27.9
47.7,27.8,26.7,30.9,27.7,21.6
48.2,26.0,19.4,26.7,38.9,20.0
47.7,26.0,20.2,27.7,34.7,29.0
48.2,29.0,17.9,25.7,18.4,29.9
47.7,27.7,20.0,27.3,22.0,36.6
48.7,25.2,32.0,28.4,27.0,20.0
47.7,25.5,34.7,28.9,25.5,13.0
49.6,27.9,26.5,36.1,24.0,31.3
48.2,0.0,17.0,27.2,16.0,32.7
48.2,25.5,10.3,24.8,26.3,39.2
47.7,19.5,23.0,13.9,53.5,19.0
47.7,29.7,22.4,33.7,22.8,26.3
47.2,26.7,21.2,16.8,33.7,31.3
48.2,28.9,20.8,24.8,24.8,23.8
48.7,26.2,22.7,37.6,25.2,18.4
49.1,24.0,27.6,34.7,24.7,26.0
48.2,26.6,15.2,33.7,28.0,30.3
47.7,16.0,26.3,27.5,20.8,34.0
47.2,29.4,18.4,20.8,15.7,14.9
46.2,16.6,31.0,15.8,26.8,29.0
47.7,25.5,26.7,23.2,28.3,26.0
48.2,26.1,32.0,18.2,27.5,22.7
47.2,25.1,24.2,36.0,26.5,13.0
48.2,27.0,30.7,22.7,27.1,18.0
48.2,26.1,50.0,22.0,9.9,28.0
48.2,27.8,28.0,21.2,24.5,32.7
47.7,27.3,39.0,24.8,19.0,18.9
47.7,26.9,31.2,23.5,21.4,24.7
48.2,27.0,32.3,19.4,19.0,33.3
48.2,26.0,32.7,25.7,24.0,26.0
47.7,23.7,28.7,19.6,23.2,34.3
48.2,19.6,33.3,32.3,18.8,14.0
47.7,27.2,34.3,20.2,29.3,17.5
48.7,24.4,26.0,20.6,44.1,9.2
47.7,25.1,33.0,28.9,30.8,22.8
48.2,25.3,15.3,17.5,44.2,26.7
48.2,27.0,21.2,18.8,30.4,40.4
47.2,25.1,15.8,20.0,13.3,49.5
48.2,26.3,20.4,22.2,21.8,46.5
48.7,24.6,41.4,23.5,24.3,20.2
48.2,26.9,13.3,20.6,36.6,31.0
47.7,25.8,35.1,15.3,21.8,24.8
49.1,26.9,34.0,12.6,34.0,21.6
48.2,24.6,30.9,25.0,23.2,26.2
48.2,24.6,41.6,14.7,20.8,32.7
48.7,25.4,16.8,29.0,21.4,32.0
49.1,25.3,21.2,34.3,25.0,21.2
47.7,26.4,22.7,17.1,49.5,13.4
48.2,28.2,17.0,13.5,49.5,26.5
48.2,25.6,29.2,23.2,19.0,29.0
48.2,33.1,17.0,36.7,27.7,25.5
48.2,26.2,25.8,29.7,21.9,26.7
47.7,26.6,6.0,29.9,48.5,18.0
48.2,25.2,18.2,31.0,24.3,30.3
48.7,27.0,7.1,23.5,15.2,16.0
48.2,27.4,35.4,33.3,14.0,18.8
48.2,27.1,25.5,20.2,38.6,20.2
48.2,26.2,32.6,24.0,21.4,22.8
48.2,26.7,48.0,14.7,20.2,21.0
48.7,26.8,33.3,18.2,34.7,19.4
47.7,26.4,26.7,37.8,21.4,13.1
48.7,24.6,24.5,37.3,28.7,16.3
47.7,26.1,26.3,11.2,46.5,15.5
49.1,28.0,25.5,17.2,44.0,16.3
47.2,26.0,23.0,16.0,49.5,19.6
48.7,24.9,24.7,30.9,26.7,21.4
47.7,23.3,30.7,27.3,15.2,11.2
47.2,25.6,17.8,43.6,22.5,22.0
48.2,26.6,17.2,13.9,27.7,42.4
48.2,25.4,22.8,15.2,31.0,33.3
47.2,26.1,26.3,24.8,21.9,32.0
48.2,25.4,54.9,15.5,21.2,19.6
48.7,27.1,32.0,19.0,19.4,29.3
47.7,27.0,22.7,28.4,37.6,13.0
48.2,24.3,15.8,27.9,47.9,13.0
47.2,25.6,13.0,24.5,51.5,13.1
47.7,27.5,27.8,10.1,52.9,14.7
47.7,25.2,40.4,16.0,27.7,19.8
48.2,23.5,52.5,18.3,18.8,17.2
48.7,25.7,54.5,16.5,20.4,22.0
47.7,25.9,14.1,13.3,52.0,25.0
48.2,25.1,26.0,30.7,22.0,32.0
48.7,24.7,16.0,25.5,13.3,45.1
47.7,25.1,23.3,52.0,17.2,14.0
48.2,25.5,32.0,31.7,35.7,14.3
48.2,26.4,23.7,20.4,27.0,32.0
48.2,27.0,24.7,20.0,29.7,26.8
47.7,27.1,16.2,26.7,20.4,40.8
48.2,26.9,17.8,50.0,21.6,25.5
47.7,25.0,15.2,23.0,21.0,20.0
46.7,25.3,19.6,45.6,20.0,19.2
47.2,24.1,27.8,40.4,21.6,20.6
48.2,7.9,16.2,35.7,27.7,24.2
46.7,26.0,25.5,21.8,28.6,20.8
47.2,27.2,28.4,16.8,31.6,25.5
47.2,25.4,27.0,19.0,41.8,13.9
47.7,25.6,24.0,27.7,40.2,13.1
48.2,25.1,19.0,40.6,23.8,20.0
47.7,27.0,25.0,44.8,26.0,17.5
47.7,24.9,18.4,37.3,30.4,23.8
47.7,24.6,46.9,22.2,19.0,13.3
48.2,27.4,30.6,24.2,21.6,15.5
46.7,27.5,17.5,53.8,17.2,17.7
47.2,27.3,15.5,51.5,13.3,22.0
47.7,27.3,19.6,50.5,18.0,17.0
48.2,28.4,19.2,49.0,16.2,20.6
47.7,26.5,28.1,21.1,29.6,24.8
46.7,24.7,31.3,19.6,25.0,28.2
47.2,29.2,19.8,28.8,24.0,30.7
47.2,25.9,32.7,21.6,15.6,32.0
47.2,1.0,0.0,0.0,0.0,1.0
46.2,25.4,23.0,18.2,12.5,43.0
47.2,26.6,24.7,14.3,22.0,36.0
46.7,25.4,35.4,26.8,22.8,18.6
47.7,25.4,51.5,16.2,24.0,10.1
48.2,27.7,28.0,29.9,21.2,21.4
47.2,25.8,45.5,18.8,17.3,18.2
47.2,27.7,39.6,24.2,16.3,19.2
47.2,25.6,54.1,20.6,14.0,19.8
46.7,26.6,20.2,23.0,41.4,18.6
47.2,26.1,23.0,23.8,23.2,33.0
47.7,26.6,21.6,30.6,19.6,30.1
48.7,22.3,25.8,46.5,21.6,9.1
48.7,29.9,50.0,5.2,29.7,17.2
47.7,14.2,18.6,38.0,16.2,23.7
47.7,25.4,50.5,12.9,16.2,21.0
46.7,25.1,46.3,15.0,22.8,20.2
47.2,25.7,33.0,24.2,33.3,14.6
48.2,26.6,24.0,6.1,29.4,43.4
47.2,29.1,27.6,20.8,36.3,29.3
46.7,26.3,27.5,27.7,27.3,24.0
47.2,25.3,31.3,14.9,40.6,20.6
47.2,24.7,27.3,26.0,25.5,23.2
47.2,24.9,28.7,34.7,18.2,20.4
46.7,26.1,39.6,18.6,20.2,27.2
47.7,26.2,28.3,16.5,31.7,23.2
47.2,25.8,15.8,13.0,10.3,33.3
47.2,1.3,12.2,17.6,15.7,36.5
47.2,27.8,19.0,19.0,23.8,46.6
47.2,25.8,17.2,34.3,36.0,16.5
48.2,26.1,21.0,20.8,28.0,30.4
47.7,27.3,51.0,17.3,22.2,13.1
47.2,26.3,41.4,20.0,21.4,20.0
47.7,27.2,24.0,23.5,29.4,30.2
46.7,25.2,21.9,8.9,47.6,25.7
47.2,26.9,33.7,16.0,34.3,23.0
47.7,25.5,21.4,50.5,21.0,6.9
47.7,26.1,28.9,21.0,28.6,24.2
46.7,25.0,51.9,26.0,18.6,16.2
47.2,28.7,27.8,18.6,25.3,33.6
48.2,26.9,31.3,33.3,22.4,17.3
47.7,26.3,33.7,32.4,20.4,25.3
47.2,24.8,45.5,25.0,13.5,22.0
47.7,26.1,33.0,20.2,26.0,26.5
48.2,25.0,30.6,25.0,23.8,29.3
47.2,26.6,28.6,21.8,38.2,17.3
48.2,25.9,54.3,14.0,18.5,14.4
47.7,27.3,37.6,17.0,15.8,14.6
48.2,26.1,51.9,10.2,18.2,22.7
47.7,28.4,15.5,10.7,17.2,32.4
46.2,27.0,23.0,18.0,14.4,49.5
46.7,27.9,11.2,22.0,17.5,52.9
47.2,26.6,27.0,8.5,19.8,40.8
47.7,26.2,27.3,23.8,24.7,26.5
47.2,25.7,26.0,31.3,29.7,22.2
47.2,26.4,25.5,16.0,42.4,17.7
48.2,26.4,22.4,15.0,51.0,19.8
47.2,27.1,22.0,14.4,50.0,17.2
47.7,26.6,49.0,23.5,23.8,12.4
47.7,24.7,26.5,18.8,19.8,35.4
47.2,26.1,28.7,14.3,24.0,33.7
48.2,25.8,42.4,17.6,19.4,19.8
47.2,5.5,0.0,1.0,8.0,5.0
47.2,24.3,24.7,41.6,17.8,25.5
46.7,26.3,22.4,34.0,26.3,15.0
46.2,26.8,21.4,23.8,42.2,21.4
47.2,28.5,26.0,32.0,19.2,23.7
47.2,25.4,15.0,29.7,23.3,35.8
47.2,25.6,29.7,9.1,24.7,34.7
46.2,28.1,34.4,16.5,33.3,22.1
46.7,27.1,40.4,20.2,28.0,17.0
47.2,27.5,32.7,28.3,13.1,28.3
47.2,25.9,35.9,33.3,14.1,28.0
47.7,25.6,17.6,23.8,48.5,18.6
45.7,27.2,27.0,33.0,30.0,14.6
46.2,26.2,31.0,20.2,31.0,14.3
47.7,26.3,34.7,26.0,31.7,9.2
47.2,27.4,25.5,10.2,29.9,39.0
47.7,24.2,33.7,8.9,22.0,37.1
47.7,26.8,21.4,16.0,19.6,44.9
47.2,27.1,27.8,14.3,26.5,46.2
46.7,26.2,28.4,25.3,27.6,24.5
46.2,27.8,0.0,10.0,2.0,6.9
46.2,25.6,15.0,25.0,16.0,45.9
46.7,25.7,14.4,42.4,15.5,26.7
47.7,24.5,13.3,22.7,16.3,51.5
47.2,26.1,14.0,23.7,16.2,51.0
46.7,25.0,11.1,25.0,43.8,24.5
47.7,28.7,37.3,21.4,27.0,19.8
46.7,26.9,34.7,21.8,24.5,33.0
47.7,24.8,16.2,22.4,38.6,25.0
47.2,26.6,25.5,16.8,29.0,38.6
45.7,18.1,0.0,0.0,4.0,0.0
45.2,25.6,24.0,12.1,11.1,11.0
48.2,27.0,21.4,15.7,46.9,18.4
46.7,26.1,30.1,16.2,38.5,23.1
46.7,26.6,19.4,17.8,43.7,21.8
45.7,26.3,14.7,16.0,46.2,25.5
47.2,25.8,20.4,14.3,50.0,17.5
46.7,25.1,30.2,14.0,30.7,28.4
46.7,24.1,21.9,17.8,49.5,13.8
47.7,26.3,25.2,15.0,32.0,33.3
47.2,25.8,31.0,19.4,19.0,35.3
45.7,15.9,26.5,27.0,23.8,27.3
47.2,26.3,30.6,12.5,28.7,26.5
47.7,19.6,33.0,34.7,16.5,21.4
47.2,25.1,36.5,17.5,23.0,26.0
48.7,27.6,46.3,10.0,26.2,24.5
47.7,20.7,22.9,17.8,32.7,26.5
46.7,26.9,23.7,25.2,21.3,26.8
47.7,20.4,22.4,24.0,27.0,24.5
47.7,25.8,13.0,10.1,32.3,22.0
46.7,25.8,23.0,38.6,22.4,19.0
47.2,15.9,18.4,21.2,26.5,21.9
46.7,26.5,25.7,16.3,31.6,32.0
47.2,23.9,28.7,18.9,23.5,33.3
46.2,26.1,20.0,28.7,37.6,17.3
47.2,26.0,38.8,13.9,27.7,21.8
47.2,25.9,18.2,8.1,8.1,12.7
47.7,26.3,32.0,20.0,27.7,26.8
46.7,24.9,22.7,15.0,45.9,18.6
47.2,24.6,13.3,26.7,24.2,41.8
48.2,24.7,13.9,20.2,28.0,42.0
46.7,27.7,17.3,26.5,26.2,35.8
47.2,24.7,28.6,19.4,30.3,21.2
47.2,5.5,16.8,26.0,23.1,23.7
48.2,26.0,22.7,48.0,21.4,10.1
46.7,26.1,17.8,34.0,22.2,32.7
46.7,27.3,16.7,31.0,19.6,24.2
48.2,26.0,28.7,28.7,23.3,22.0
47.2,23.1,17.3,31.4,26.0,31.0
47.2,27.6,35.6,27.0,23.5,27.7
47.2,27.1,29.3,28.0,18.2,33.3
48.2,27.1,5.8,7.0,3.0,3.9
46.7,26.8,39.2,27.7,21.2,11.1
46.2,28.1,13.5,37.1,21.4,30.3
47.2,26.6,22.8,32.0,21.2,25.3
48.2,28.7,20.0,27.6,32.4,24.0
47.7,26.3,24.0,32.3,31.3,15.2
47.2,26.2,23.3,33.7,32.3,15.3
47.2,25.9,25.8,15.3,20.2,37.4
47.7,26.4,22.2,14.0,28.3,33.0
47.7,26.7,20.8,23.7,28.3,34.3
47.7,26.3,23.8,13.5,21.4,42.4
47.2,26.6,17.8,26.3,17.6,48.0
48.2,27.9,15.3,25.0,31.7,37.6
47.7,26.4,17.0,18.2,29.9,14.0
47.2,26.5,28.1,21.8,28.0,22.7
46.7,23.8,26.7,27.0,22.7,31.0
47.2,26.9,17.7,28.9,18.2,29.3
47.7,25.4,29.0,24.2,21.4,24.2
47.2,24.0,43.3,16.3,8.2,28.9
47.2,25.5,23.2,41.0,27.7,14.9
47.7,25.7,27.3,29.0,13.7,37.5
47.7,26.0,24.5,21.0,15.2,50.5
47.2,25.8,14.6,13.3,12.2,35.3
46.7,24.0,23.3,26.3,15.8,35.4
46.7,25.0,23.0,37.4,20.8,19.4
48.2,25.9,22.0,18.2,46.0,29.0
47.7,25.6,19.2,26.5,27.3,34.7
46.7,26.6,24.2,25.8,30.0,23.5
47.7,26.3,24.2,49.0,18.4,8.3
47.7,27.5,24.8,35.4,25.3,16.5
47.7,26.0,30.4,36.6,21.2,19.2
47.2,25.4,21.4,28.3,28.0,30.0
47.2,27.3,19.4,27.3,25.0,36.0
47.7,25.8,19.8,49.0,27.6,12.0
47.7,26.5,42.6,19.2,20.2,21.8
48.2,26.1,25.0,9.6,19.8,17.2
47.7,27.3,26.5,28.3,23.7,29.7
47.2,27.4,28.6,26.0,29.6,24.3
48.2,1.5,5.1,9.0,16.2,12.0
46.7,27.6,11.2,26.2,19.2,50.5
46.7,27.4,19.6,17.2,13.9,47.1
48.2,26.4,11.1,25.5,19.2,51.5
47.7,25.7,17.0,17.0,18.4,52.4
47.2,25.3,29.0,10.0,39.6,24.7
47.7,25.6,36.0,23.7,26.0,18.8
47.2,26.7,24.5,24.0,22.4,33.0
47.7,26.0,14.3,35.7,20.6,31.3
48.7,19.4,26.5,26.8,25.5,23.2
47.2,26.9,28.3,27.2,33.3,29.3
48.2,26.6,16.3,22.2,25.5,20.2
47.7,26.7,19.2,20.6,40.0,19.8
47.7,24.9,42.3,23.8,21.2,13.0
47.7,25.9,22.2,30.1,32.0,22.5
47.2,26.9,20.0,25.7,38.4,18.9
46.7,24.8,12.2,26.7,51.0,16.3
47.7,26.1,8.2,23.2,42.0,25.5
47.2,26.1,16.0,19.2,14.1,55.0
47.7,26.2,16.8,18.8,16.5,53.0
47.2,13.9,17.2,17.2,15.6,44.1
47.2,26.9,15.2,16.8,25.3,42.0
48.7,26.4,34.7,23.2,22.7,24.8
46.2,19.3,39.4,26.5,24.5,10.5
46.2,25.9,41.7,14.1,20.4,22.0
46.7,26.8,38.1,18.6,24.0,31.0
46.2,27.0,41.2,23.0,14.4,30.1
47.7,26.9,35.1,25.3,21.6,23.2
46.7,28.5,37.1,18.7,14.6,30.7
47.2,26.7,19.0,49.5,12.9,27.0
46.2,26.1,18.2,32.7,38.0,21.0
47.7,27.2,18.6,27.3,32.0,21.6
47.2,26.4,33.0,22.2,25.3,25.5
47.7,29.5,16.2,24.0,18.8,51.0
47.2,25.3,11.2,15.2,18.4,24.5
47.7,26.3,16.5,24.5,30.3,35.0
46.7,26.5,29.7,25.7,10.1,49.0
47.7,25.3,24.0,25.3,15.8,31.2
47.2,27.7,17.2,19.2,10.2,55.1
47.7,25.4,29.3,31.3,19.2,23.5
47.7,27.7,12.6,24.3,21.9,38.1
46.7,25.4,19.2,25.7,32.7,33.7
48.2,27.2,13.9,11.9,19.2,19.0
46.2,26.0,32.0,27.0,14.6,32.7
46.7,28.1,13.9,14.9,15.3,15.8
46.2,28.2,21.0,24.5,12.7,49.0
46.7,27.0,24.8,51.0,15.0,13.4
47.2,25.3,23.2,29.7,27.7,25.5
46.7,26.3,12.6,33.3,26.3,31.4
46.7,25.9,20.4,29.3,27.1,24.8
46.2,26.7,30.0,23.5,28.3,17.3
46.7,27.1,19.6,26.7,35.0,24.7
47.2,26.4,32.0,22.7,39.0,15.0
46.2,24.7,44.1,25.0,9.4,18.4
46.7,27.0,28.6,23.7,31.0,21.0
47.7,27.4,26.5,25.3,28.7,26.7
47.2,25.3,19.8,32.4,30.9,32.7
47.7,11.1,1.0,0.0,0.0,0.0
45.2,25.9,15.5,51.5,12.2,26.9
45.7,26.4,24.8,43.3,15.2,19.6
47.7,25.6,13.3,23.0,37.0,28.2
46.7,27.1,22.1,47.5,16.0,27.5
47.2,26.8,24.2,46.5,12.1,18.4
46.7,25.6,18.9,34.7,15.0,31.3
46.7,24.3,24.2,18.6,17.2,49.0
47.2,26.9,21.0,24.0,24.0,46.5
46.7,27.3,24.5,26.0,30.3,24.2
48.2,26.4,14.9,21.0,28.6,36.7
47.7,24.6,14.3,20.2,16.0,37.8
47.2,25.0,22.8,40.4,26.0,23.5
46.7,7.4,1.0,0.0,1.0,0.0
46.7,26.7,29.0,17.7,31.7,28.6
46.7,25.6,23.2,14.3,51.5,16.5
47.2,24.7,17.7,29.2,30.4,17.8
48.2,24.4,13.3,20.8,49.0,13.3
48.2,22.8,27.0,23.3,34.0,22.0
46.2,25.2,15.0,39.0,31.7,19.4
47.7,25.1,22.7,19.0,33.3,28.7
47.2,25.3,9.2,21.4,47.4,22.0
47.2,26.0,16.0,16.5,51.5,23.2
47.2,13.5,14.9,49.0,17.8,25.0
48.2,22.6,15.8,30.7,36.0,24.0
48.2,29.4,17.7,32.0,26.0,38.8
47.7,26.6,35.6,25.7,22.3,23.0
45.7,27.8,43.6,23.0,17.0,20.4
46.2,26.2,29.0,22.0,21.6,27.8
46.7,25.4,16.3,22.5,33.3,30.9
47.2,26.1,31.1,15.8,35.0,26.3
47.2,27.4,21.1,17.3,15.8,50.9
47.2,27.7,23.0,29.4,24.5,36.3
47.2,25.4,11.1,52.5,31.1,16.3
46.2,24.6,16.2,29.6,39.0,17.6
46.7,27.1,18.6,47.0,17.3,20.8
47.2,26.3,1.0,7.1,1.0,0.0
47.2,28.1,26.5,16.3,45.8,20.6
47.2,25.6,13.0,23.2,42.4,26.7
46.2,26.7,16.0,31.7,33.0,21.4
47.7,24.8,31.0,20.6,31.3,27.2
47.2,26.7,27.4,20.2,21.8,26.5
46.2,25.6,32.0,27.3,26.8,18.4
46.7,25.9,22.2,17.6,51.5,10.0
47.2,27.6,34.4,20.6,28.1,17.0
46.2,26.2,32.0,25.7,23.5,26.0
46.7,22.1,27.7,27.7,11.9,21.4
46.2,26.2,22.2,34.0,20.0,21.1
47.2,9.2,1.0,5.0,0.0,0.0
45.2,25.6,43.4,26.5,24.0,8.0
46.7,24.4,19.8,28.0,25.7,34.0
46.2,26.6,25.3,34.0,16.3,25.3
46.7,27.2,18.8,20.2,33.7,30.0
48.2,25.0,30.3,21.8,21.6,27.6
46.2,27.8,26.0,29.0,22.7,32.0
46.7,28.6,33.0,27.6,17.3,30.3
46.7,26.9,16.5,14.0,44.6,29.0
47.2,26.1,28.9,36.3,26.0,20.8
48.2,26.0,25.0,39.4,26.0,17.0
47.2,26.4,22.8,27.0,23.7,32.7
46.2,25.4,40.8,25.7,19.6,19.0
47.2,27.1,18.4,16.5,22.4,49.5
47.2,25.5,38.1,9.2,30.4,26.0
46.7,27.4,50.5,21.4,16.2,19.2
46.2,26.4,23.7,19.6,28.1,27.3
47.2,25.9,36.6,32.0,14.7,26.0
45.7,27.5,20.4,29.7,28.7,28.0
46.7,28.7,27.1,35.6,28.6,17.8
47.2,25.3,20.2,20.0,17.0,11.2
47.2,26.1,33.0,11.1,25.7,36.4
45.7,28.1,33.7,21.6,27.8,24.2
46.2,26.9,26.5,10.0,36.4,30.6
47.7,25.6,26.0,12.9,26.6,34.3
46.7,25.3,29.7,13.9,23.5,43.4
46.7,26.2,26.5,15.0,21.0,45.8
47.2,27.4,29.8,16.0,18.8,46.9
47.2,26.9,16.3,16.2,22.4,49.5
46.7,25.2,16.5,15.5,21.4,49.0
47.2,25.4,22.3,21.0,17.2,48.5
46.2,26.3,7.2,14.0,19.2,34.7
47.7,27.2,18.6,17.8,20.0,47.5
47.7,26.3,10.1,10.1,7.1,24.8
47.2,26.3,15.0,21.0,17.7,50.5
47.2,24.9,15.6,19.4,17.5,51.5
46.7,25.4,12.0,19.0,21.4,47.0
47.2,25.9,23.2,23.5,32.4,24.7
47.2,26.4,27.0,33.0,9.2,26.7
46.7,25.1,25.5,29.4,36.6,18.0
48.2,27.7,22.1,29.1,28.0,21.9
46.7,26.1,32.0,27.7,13.0,29.5
46.2,26.2,18.4,26.3,30.3,33.7
46.7,26.9,30.3,18.6,4.0,22.4
47.7,26.4,23.5,24.2,14.3,41.0
46.2,28.8,28.7,28.7,27.0,31.1
46.7,27.4,24.2,28.6,18.4,27.4
47.2,25.8,25.0,27.7,16.8,35.8
48.2,26.7,34.0,24.7,16.2,27.7
46.7,27.8,18.8,26.5,16.7,47.4
46.7,28.0,31.6,26.5,26.0,13.4
46.7,27.2,16.5,27.0,32.4,31.0
46.2,25.4,15.5,23.0,11.2,47.5
47.2,25.7,16.2,25.2,29.5,34.7
47.2,25.1,32.3,27.3,36.3,21.8
47.7,10.2,20.4,29.3,12.2,35.9
47.7,25.3,27.6,35.6,14.0,23.5
46.2,28.3,30.7,16.2,12.9,47.5
46.7,26.6,31.7,11.3,17.6,46.9
46.7,25.4,35.1,12.0,17.0,40.2
46.2,27.1,22.7,17.0,22.8,43.6
46.7,29.4,23.5,17.3,37.3,29.0
46.7,26.8,32.3,44.0,12.0,9.6
46.2,25.6,21.4,22.2,28.2,15.8
46.7,26.4,30.6,12.4,33.7,28.2
46.7,0.8,3.0,1.0,0.0,0.0
46.2,25.7,25.8,21.2,38.6,18.4
46.7,28.5,24.7,26.3,33.7,20.8
45.7,28.3,20.0,23.2,33.3,23.8
46.2,26.2,35.3,31.6,9.2,25.8
46.7,25.1,23.2,44.9,16.2,18.2
47.2,24.2,24.5,48.0,15.2,14.3
46.7,26.6,30.8,47.9,22.0,12.5
47.2,25.0,29.1,45.8,11.0,14.0
47.2,26.3,28.6,27.2,23.5,24.0
46.2,26.4,50.5,14.6,21.0,15.3
46.7,25.4,53.8,18.8,19.8,11.1
46.7,3.3,3.1,1.0,1.0,3.0
45.2,23.7,49.0,15.2,19.0,21.0
46.7,25.8,23.0,24.5,30.9,18.8
46.2,26.0,32.0,27.5,36.3,15.2
46.2,26.6,11.3,19.6,52.5,14.9
47.7,25.5,47.4,22.5,26.5,11.3
45.2,25.8,28.6,21.8,40.6,15.3
46.7,25.2,33.7,21.2,30.0,25.3
47.2,26.5,29.5,17.8,30.3,26.2
46.7,27.1,25.7,20.0,30.7,32.7
45.7,26.6,21.2,21.2,49.0,15.2
47.7,26.0,12.2,25.0,53.0,20.0
47.2,26.1,17.2,18.0,51.0,19.0
46.2,28.4,26.3,24.5,42.6,17.2
48.2,25.9,20.8,22.4,47.6,14.1
47.7,25.6,37.0,22.0,17.0,29.3
46.7,25.8,16.5,20.6,39.4,23.5
47.2,25.3,25.3,18.0,40.2,17.0
47.2,26.8,31.7,19.4,19.4,35.0
47.7,27.4,23.5,18.6,40.8,14.9
47.2,25.9,20.0,20.0,44.8,21.7
46.7,25.1,15.6,23.5,48.0,17.0
46.7,26.0,21.2,22.2,47.5,24.0
47.2,24.2,23.5,22.1,48.5,24.0
47.2,26.4,37.0,13.3,11.9,34.4
46.7,25.3,34.7,18.6,27.7,24.7
47.2,25.5,55.6,11.0,17.2,18.6
46.7,24.8,20.8,30.5,33.7,20.4
46.7,26.6,19.4,23.0,47.5,13.0
46.7,25.3,19.6,13.8,54.3,14.1
47.7,26.0,39.0,20.0,28.4,10.2
46.7,24.8,27.6,32.0,25.7,18.9
46.7,25.1,12.0,17.3,18.0,31.6
47.7,27.0,35.0,18.8,26.5,31.0
47.2,28.5,23.2,15.0,19.2,21.8
47.7,24.8,23.5,15.3,21.4,38.4
46.2,25.9,20.4,17.6,17.0,42.6
46.7,25.9,17.7,22.8,43.0,23.7
46.7,26.3,22.3,32.0,23.7,33.3
46.7,25.4,28.0,26.7,29.0,20.6
46.7,27.0,34.0,21.9,21.8,32.4
46.7,25.0,21.2,16.3,20.8,46.4
48.2,26.5,48.5,18.6,18.2,22.4
46.7,24.8,35.7,22.4,21.4,23.7
47.7,27.6,16.2,10.2,5.2,11.7
46.2,26.5,19.4,30.6,30.3,22.0
46.2,26.8,32.4,38.8,14.0,23.1
46.2,23.7,20.4,21.0,26.3,34.0
46.7,25.6,37.4,25.0,25.7,19.0
47.2,25.1,31.7,16.2,32.4,26.3
46.7,26.1,38.6,27.5,10.4,25.0
47.2,24.2,39.6,19.2,33.3,16.0
47.2,25.3,36.7,26.7,11.9,29.7
47.7,26.8,34.0,15.2,41.5,20.0
46.7,0.5,5.9,1.0,5.9,0.0
47.2,26.6,26.5,15.3,37.0,25.8
46.7,27.1,18.8,14.1,32.3,40.2
47.2,28.0,52.9,17.2,15.0,18.6
48.2,26.0,44.9,21.8,22.5,23.6
45.7,27.2,27.7,21.2,28.3,23.0
47.2,24.9,24.5,25.0,35.1,23.3
47.2,25.5,27.7,20.2,32.7,23.0
47.2,25.6,24.5,25.7,23.2,30.3
45.7,26.3,21.2,17.7,22.5,39.2
46.7,25.9,19.8,27.2,27.3,32.7
46.2,26.5,27.4,23.2,22.3,35.0
46.7,26.8,53.5,19.2,18.4,19.8
48.2,28.1,50.0,20.8,18.3,14.0
47.7,26.5,52.5,16.1,16.0,16.2
48.2,25.1,51.0,21.6,14.6,17.3
47.2,26.3,29.6,21.6,14.0,32.6
47.7,24.6,22.7,38.8,24.8,14.0
47.2,27.4,28.6,35.4,22.5,12.0
47.7,26.5,55.1,18.6,24.5,5.0
47.7,26.4,32.0,23.2,22.0,25.0
46.7,25.6,26.3,13.1,33.3,27.0
47.7,28.0,19.8,31.0,15.8,36.4
47.7,26.4,5.1,5.9,4.0,2.0
46.2,27.5,27.3,20.8,28.7,28.4
47.2,27.3,41.8,21.2,19.0,24.0
46.7,25.3,35.4,27.2,22.9,18.2
47.7,27.5,27.4,28.0,36.0,11.1
46.7,27.0,21.6,17.0,32.0,35.2
