TEMPERATURE,CPU_USAGE,CPU_1,CPU_2,CPU_3,CPU_4
47.7,28.2,38.4,34.7,17.8,21.8
48.2,29.2,31.6,31.3,22.5,26.3
47.7,27.7,37.8,16.0,22.8,32.0
48.2,30.2,20.8,33.7,23.7,34.3
47.2,28.5,29.6,18.6,27.3,39.4
48.2,28.6,29.5,41.2,23.2,17.3
47.7,29.4,27.1,33.0,26.9,22.2
48.7,28.3,39.6,19.0,29.9,23.1
48.2,27.2,25.0,26.7,20.4,42.6
48.2,27.6,34.7,27.2,12.2,41.0
48.7,27.8,48.5,29.1,16.3,19.0
48.7,25.0,27.3,27.3,30.8,30.0
49.1,30.4,32.0,36.6,27.8,18.2
48.7,28.3,28.3,28.0,37.0,25.3
49.1,28.3,26.0,25.5,38.4,28.7
48.7,29.3,22.2,32.7,31.6,29.6
48.2,28.2,37.4,26.7,28.7,22.7
47.7,28.4,47.0,18.0,15.0,29.9
47.7,29.4,28.1,19.4,17.0,45.4
48.7,30.3,21.0,16.5,24.5,53.5
48.2,28.2,32.0,29.0,18.2,42.0
48.7,29.7,28.0,38.0,26.7,31.4
48.7,29.3,18.4,19.6,51.5,26.0
48.7,28.0,29.1,20.2,46.9,26.9
48.7,30.8,23.2,40.2,28.4,23.2
48.7,29.9,25.0,12.8,50.0,22.8
48.2,28.8,49.5,26.3,26.0,15.2
48.7,30.3,51.0,20.0,26.0,18.0
48.2,30.7,27.3,20.6,31.0,36.4
48.7,29.7,44.0,19.2,15.7,36.0
48.7,30.3,24.2,26.7,31.0,32.7
48.7,26.6,30.0,31.0,27.0,29.6
48.7,28.5,39.2,34.7,15.5,23.0
49.6,28.7,49.5,21.2,27.5,16.8
48.2,26.3,50.0,27.7,17.8,22.3
48.2,27.0,35.0,29.3,23.0,29.3
49.1,30.5,24.5,30.9,32.3,23.2
48.2,28.0,35.4,23.8,34.7,18.0
48.7,29.6,8.3,29.9,49.0,27.7
48.2,26.3,36.9,32.0,22.0,23.7
48.7,28.6,53.0,23.5,20.4,16.0
49.1,27.5,26.5,29.4,17.3,36.6
48.2,28.8,31.6,21.8,38.4,18.4
48.7,28.3,19.0,49.0,28.0,24.3
48.7,29.2,24.8,43.7,20.0,23.3
49.1,28.9,28.6,45.5,22.8,24.0
49.1,29.1,50.0,25.5,13.1,26.7
49.1,30.4,29.5,33.7,18.4,31.4
49.1,27.9,25.3,24.8,30.6,38.6
48.7,29.0,25.3,37.5,22.8,24.0
48.7,29.7,24.7,26.5,36.2,26.0
48.7,27.3,34.0,27.7,24.5,24.2
48.7,29.0,21.0,30.7,35.2,28.7
49.1,28.4,22.4,49.0,20.2,24.5
49.1,28.6,19.4,41.6,23.2,28.3
48.2,29.7,31.6,30.6,28.3,20.0
48.2,29.5,31.6,33.7,25.2,29.1
48.2,28.1,32.3,21.6,30.6,34.0
48.2,30.1,23.2,13.1,29.8,25.5
48.2,28.0,26.5,19.0,39.0,35.0
48.7,30.2,20.4,28.8,50.5,20.0
48.2,29.3,25.5,31.0,29.0,29.0
48.2,29.2,33.7,29.4,21.6,29.6
48.2,29.5,16.0,52.0,21.2,25.7
48.2,27.2,12.4,49.5,29.3,25.3
48.2,28.5,29.0,43.7,22.1,30.4
49.1,31.2,19.4,47.9,23.2,21.8
49.1,29.6,15.6,34.7,28.8,31.7
49.1,29.1,21.4,21.4,39.6,28.3
48.2,28.6,34.7,34.7,23.8,23.0
47.7,27.5,27.8,22.4,27.7,20.2
49.1,28.5,30.3,19.2,38.6,24.0
48.2,28.4,32.7,27.3,25.5,29.4
49.1,29.9,16.3,24.8,47.5,26.3
47.7,29.8,21.4,22.0,50.0,18.7
48.7,26.2,31.0,31.1,45.0,17.0
49.1,29.6,40.4,36.4,19.6,16.2
48.7,31.3,20.8,18.4,44.0,29.3
48.2,27.9,26.0,31.3,21.8,38.0
48.2,29.6,25.5,22.5,15.8,52.5
48.7,27.6,27.3,34.7,28.7,32.7
47.7,29.1,23.2,30.4,23.0,42.4
48.2,17.7,30.0,20.8,16.2,46.1
49.6,27.1,17.8,17.0,29.4,52.5
48.7,27.2,27.0,19.4,31.6,34.7
49.1,29.4,24.8,22.4,16.2,52.0
48.7,29.5,23.1,34.7,22.2,34.3
49.6,27.9,34.3,39.4,22.7,25.2
48.2,26.4,33.7,32.6,27.5,15.2
49.1,26.8,24.5,26.5,29.3,35.1
49.1,28.9,30.3,34.3,25.5,30.6
48.7,28.7,15.0,23.5,51.5,22.7
49.1,29.2,24.7,21.2,34.4,27.6
49.1,29.3,25.7,22.3,49.0,22.0
49.1,28.5,28.7,15.2,46.0,32.7
48.2,28.9,32.7,30.9,27.6,22.2
48.7,28.3,28.2,32.7,30.5,24.8
48.2,29.0,26.0,22.0,50.0,16.5
48.2,30.1,37.3,29.2,35.9,14.3
48.2,26.6,29.7,17.5,25.2,15.3
48.7,27.6,23.7,27.0,48.5,15.5
48.2,29.4,25.5,18.2,49.0,27.5
48.7,30.1,28.6,23.5,48.5,17.3
49.6,28.0,39.6,24.7,28.6,29.8
48.7,29.0,25.0,47.5,25.5,22.0
49.6,26.8,18.2,29.3,24.0,40.6
